date,value
2015-03-31,59661.0
2015-04-01,48473.0
2015-04-02,60676.0
2015-04-06,49170.0
2015-04-07,48474.0
2015-04-08,52038.0
2015-04-09,50448.0
2015-04-10,54647.0
2015-04-13,67501.0
2015-04-14,52940.0
2015-04-15,60095.0
2015-04-16,57141.0
2015-04-17,64203.0
2015-04-20,57442.0
2015-04-21,64736.0
2015-04-22,62928.0
2015-04-23,49006.0
2015-04-24,55534.0
2015-04-27,63396.0
2015-04-28,57546.0
2015-04-29,53914.0
2015-04-30,58949.0
2015-05-01,50580.0
2015-05-04,52192.0
2015-05-05,59122.0
2015-05-06,62014.0
2015-05-07,65623.0
2015-05-08,58322.0
2015-05-11,60436.0
2015-05-12,54009.0
2015-05-13,57175.0
2015-05-14,50762.0
2015-05-15,53574.0
2015-05-18,58821.0
2015-05-19,63312.0
2015-05-20,58231.0
2015-05-21,58512.0
2015-05-22,54234.0
2015-05-26,61183.0
2015-05-27,63908.0
2015-05-28,56822.0
2015-05-29,62797.0
2015-06-01,58982.0
2015-06-02,66406.0
2015-06-03,69092.0
2015-06-04,50457.0
2015-06-05,65475.0
2015-06-08,65069.0
2015-06-09,70928.0
2015-06-10,53120.0
2015-06-11,55277.0
2015-06-12,53166.0
2015-06-15,65775.0
2015-06-16,62721.0
2015-06-17,63902.0
2015-06-18,66443.0
2015-06-19,67509.0
2015-06-22,66364.0
2015-06-23,55713.0
2015-06-24,59329.0
2015-06-25,71302.0
2015-06-26,71782.0
2015-06-29,63425.0
2015-06-30,60375.0
2015-07-01,58579.0
2015-07-02,71024.0
2015-07-06,50806.0
2015-07-07,64269.0
2015-07-08,58287.0
2015-07-09,58161.0
2015-07-10,62209.0
2015-07-13,63575.0
2015-07-14,63358.0
2015-07-15,64993.0
2015-07-16,61665.0
2015-07-17,60967.0
2015-07-20,70798.0
2015-07-21,58084.0
2015-07-22,60971.0
2015-07-23,58122.0
2015-07-24,64223.0
2015-07-27,54323.0
2015-07-28,62654.0
2015-07-29,58529.0
2015-07-30,49819.0
2015-07-31,63574.0
2015-08-03,65826.0
2015-08-04,63978.0
2015-08-05,48798.0
2015-08-06,66370.0
2015-08-07,65448.0
2015-08-10,69118.0
2015-08-11,54253.0
2015-08-12,54887.0
2015-08-13,50257.0
2015-08-14,64329.0
2015-08-17,67105.0
2015-08-18,55806.0
2015-08-19,65654.0
2015-08-20,68133.0
2015-08-21,67820.0
2015-08-24,62476.0
2015-08-25,56395.0
2015-08-26,60947.0
2015-08-27,58505.0
2015-08-28,57931.0
2015-08-31,62493.0
2015-09-01,59536.0
2015-09-02,65006.0
2015-09-03,63193.0
2015-09-04,52087.0
2015-09-08,61259.0
2015-09-09,66726.0
2015-09-10,55285.0
2015-09-11,54912.0
2015-09-14,55620.0
2015-09-15,49435.0
2015-09-16,53383.0
2015-09-17,60331.0
2015-09-18,50995.0
2015-09-21,50179.0
2015-09-22,51288.0
2015-09-23,52239.0
2015-09-24,55024.0
2015-09-25,54621.0
2015-09-28,58320.0
2015-09-29,56498.0
2015-09-30,62137.0
2015-10-01,59720.0
2015-10-02,54572.0
2015-10-05,63054.0
2015-10-06,51036.0
2015-10-07,47228.0
2015-10-08,57499.0
2015-10-09,57714.0
2015-10-12,56179.0
2015-10-13,59704.0
2015-10-14,63971.0
2015-10-15,48548.0
2015-10-16,57646.0
2015-10-19,66175.0
2015-10-20,66981.0
2015-10-21,60405.0
2015-10-22,54670.0
2015-10-23,55547.0
2015-10-26,58619.0
2015-10-27,62936.0
2015-10-28,59637.0
2015-10-29,70698.0
2015-10-30,66793.0
2015-11-02,57551.0
2015-11-03,66171.0
2015-11-04,62553.0
2015-11-05,67273.0
2015-11-06,69219.0
2015-11-09,55048.0
2015-11-10,68256.0
2015-11-11,67973.0
2015-11-12,60031.0
2015-11-13,69664.0
2015-11-16,69516.0
2015-11-17,69865.0
2015-11-18,66867.0
2015-11-19,66249.0
2015-11-20,74901.0
2015-11-23,59010.0
2015-11-24,59430.0
2015-11-25,62932.0
2015-11-27,61159.0
2015-11-30,65228.0
2015-12-01,77067.0
2015-12-02,75051.0
2015-12-03,66138.0
2015-12-04,74566.0
2015-12-07,71239.0
2015-12-08,74474.0
2015-12-09,71010.0
2015-12-10,73157.0
2015-12-11,60883.0
2015-12-14,71512.0
2015-12-15,79949.0
2015-12-16,82685.0
2015-12-17,61466.0
2015-12-18,66118.0
2015-12-21,69131.0
2015-12-22,77070.0
2015-12-23,77918.0
2015-12-24,67707.0
2015-12-28,67518.0
2015-12-29,59633.0
2015-12-30,74726.0
2015-12-31,68062.0
2016-01-04,62753.0
2016-01-05,83692.0
2016-01-06,68873.0
2016-01-07,66662.0
2016-01-08,71092.0
2016-01-11,62559.0
2016-01-12,72624.0
2016-01-13,75595.0
2016-01-14,72681.0
2016-01-15,75757.0
2016-01-19,66423.0
2016-01-20,66915.0
2016-01-21,68175.0
2016-01-22,64822.0
2016-01-25,70044.0
2016-01-26,76741.0
2016-01-27,60960.0
2016-01-28,66641.0
2016-01-29,66753.0
2016-02-01,65091.0
2016-02-02,51678.0
2016-02-03,70860.0
2016-02-04,72765.0
2016-02-05,63722.0
2016-02-08,58546.0
2016-02-09,65782.0
2016-02-10,72939.0
2016-02-11,76031.0
2016-02-12,70523.0
2016-02-16,59916.0
2016-02-17,58938.0
2016-02-18,60840.0
2016-02-19,71414.0
2016-02-22,71424.0
2016-02-23,63802.0
2016-02-24,60499.0
2016-02-25,68444.0
2016-02-26,63523.0
2016-02-29,55897.0
2016-03-01,51001.0
2016-03-02,62789.0
2016-03-03,58260.0
2016-03-04,50551.0
2016-03-07,55847.0
2016-03-08,56267.0
2016-03-09,57742.0
2016-03-10,62886.0
2016-03-11,62423.0
2016-03-14,61421.0
2016-03-15,56006.0
2016-03-16,45864.0
2016-03-17,70975.0
2016-03-18,56510.0
2016-03-21,56124.0
2016-03-22,59982.0
2016-03-23,55296.0
2016-03-24,52656.0
2016-03-28,56965.0
2016-03-29,54989.0
2016-03-30,47097.0
2016-03-31,60089.0
2016-04-01,59872.0
2016-04-04,55513.0
2016-04-05,55160.0
2016-04-06,53144.0
2016-04-07,51016.0
2016-04-08,57872.0
2016-04-11,60067.0
2016-04-12,57243.0
2016-04-13,49385.0
2016-04-14,46277.0
2016-04-15,50154.0
2016-04-18,56147.0
2016-04-19,64239.0
2016-04-20,52357.0
2016-04-21,57079.0
2016-04-22,37910.0
2016-04-25,55092.0
2016-04-26,51254.0
2016-04-27,55059.0
2016-04-28,52917.0
2016-04-29,55423.0
2016-05-02,43394.0
2016-05-03,52838.0
2016-05-04,54860.0
2016-05-05,57372.0
2016-05-06,53430.0
2016-05-09,60294.0
2016-05-10,68331.0
2016-05-11,66542.0
2016-05-12,53063.0
2016-05-13,59378.0
2016-05-16,51599.0
2016-05-17,62226.0
2016-05-18,54871.0
2016-05-19,57221.0
2016-05-20,53009.0
2016-05-23,68039.0
2016-05-24,61075.0
2016-05-25,70132.0
2016-05-26,53604.0
2016-05-27,62146.0
2016-05-31,64435.0
2016-06-01,58248.0
2016-06-02,66533.0
2016-06-03,57774.0
2016-06-06,55222.0
2016-06-07,48924.0
2016-06-08,70395.0
2016-06-09,72166.0
2016-06-10,60159.0
2016-06-13,63316.0
2016-06-14,70545.0
2016-06-15,69697.0
2016-06-16,66622.0
2016-06-17,71993.0
2016-06-20,51839.0
2016-06-21,53984.0
2016-06-22,58334.0
2016-06-23,72953.0
2016-06-24,57791.0
2016-06-27,69568.0
2016-06-28,58141.0
2016-06-29,51059.0
2016-06-30,52830.0
2016-07-01,61742.0
2016-07-05,66749.0
2016-07-06,66933.0
2016-07-07,77142.0
2016-07-08,56341.0
2016-07-11,59021.0
2016-07-12,47250.0
2016-07-13,64803.0
2016-07-14,65361.0
2016-07-15,49959.0
2016-07-18,68950.0
2016-07-19,64377.0
2016-07-20,70561.0
2016-07-21,57534.0
2016-07-22,55487.0
2016-07-25,67340.0
2016-07-26,64439.0
2016-07-27,59034.0
2016-07-28,50114.0
2016-07-29,61358.0
2016-08-01,59363.0
2016-08-02,62790.0
2016-08-03,60221.0
2016-08-04,60755.0
2016-08-05,69303.0
2016-08-08,54166.0
2016-08-09,67658.0
2016-08-10,55632.0
2016-08-11,60500.0
2016-08-12,59599.0
2016-08-15,53532.0
2016-08-16,58561.0
2016-08-17,56929.0
2016-08-18,64861.0
2016-08-19,54640.0
2016-08-22,54615.0
2016-08-23,60784.0
2016-08-24,60651.0
2016-08-25,52539.0
2016-08-26,65755.0
2016-08-29,57681.0
2016-08-30,50605.0
2016-08-31,65360.0
2016-09-01,58452.0
2016-09-02,62064.0
2016-09-06,55515.0
2016-09-07,51857.0
2016-09-08,61958.0
2016-09-09,55755.0
2016-09-12,60029.0
2016-09-13,67401.0
2016-09-14,70493.0
2016-09-15,69486.0
2016-09-16,60932.0
2016-09-19,59836.0
2016-09-20,58882.0
2016-09-21,56888.0
2016-09-22,46850.0
2016-09-23,65753.0
2016-09-26,66460.0
2016-09-27,62460.0
2016-09-28,63719.0
2016-09-29,61475.0
2016-09-30,62480.0
2016-10-03,59447.0
2016-10-04,62919.0
2016-10-05,69666.0
2016-10-06,47527.0
2016-10-07,63896.0
2016-10-10,57925.0
2016-10-11,60121.0
2016-10-12,58574.0
2016-10-13,61240.0
2016-10-14,63593.0
2016-10-17,63572.0
2016-10-18,57101.0
2016-10-19,70359.0
2016-10-20,57416.0
2016-10-21,42413.0
2016-10-24,62840.0
2016-10-25,53966.0
2016-10-26,66491.0
2016-10-27,56147.0
2016-10-28,61213.0
2016-10-31,63224.0
2016-11-01,77704.0
2016-11-02,62864.0
2016-11-03,59249.0
2016-11-04,67813.0
2016-11-07,58525.0
2016-11-08,65260.0
2016-11-09,53258.0
2016-11-10,64270.0
2016-11-11,64842.0
2016-11-14,65387.0
2016-11-15,66503.0
2016-11-16,64915.0
2016-11-17,74916.0
2016-11-18,65431.0
2016-11-21,66967.0
2016-11-22,81234.0
2016-11-23,67332.0
2016-11-25,52611.0
2016-11-28,73486.0
2016-11-29,63107.0
2016-11-30,84163.0
2016-12-01,73861.0
2016-12-02,60034.0
2016-12-05,63598.0
2016-12-06,65574.0
2016-12-07,75345.0
2016-12-08,73293.0
2016-12-09,63247.0
2016-12-12,69719.0
2016-12-13,72433.0
2016-12-14,65604.0
2016-12-15,80231.0
2016-12-16,77405.0
2016-12-19,71569.0
2016-12-20,84026.0
2016-12-21,69345.0
2016-12-22,65890.0
2016-12-23,79854.0
2016-12-27,81881.0
2016-12-28,84802.0
2016-12-29,74547.0
2016-12-30,67537.0
2017-01-03,81830.0
2017-01-04,91877.0
2017-01-05,60548.0
2017-01-06,76721.0
2017-01-09,61167.0
2017-01-10,66917.0
2017-01-11,74644.0
2017-01-12,70739.0
2017-01-13,75350.0
2017-01-17,71870.0
2017-01-18,67457.0
2017-01-19,64639.0
2017-01-20,66666.0
2017-01-23,64049.0
2017-01-24,75990.0
2017-01-25,70531.0
2017-01-26,72285.0
2017-01-27,75733.0
2017-01-30,77613.0
2017-01-31,74507.0
2017-02-01,62452.0
2017-02-02,67094.0
2017-02-03,77413.0
2017-02-06,60050.0
2017-02-07,52644.0
2017-02-08,74660.0
2017-02-09,70911.0
2017-02-10,63287.0
2017-02-13,66461.0
2017-02-14,62597.0
2017-02-15,64297.0
2017-02-16,72680.0
2017-02-17,70614.0
2017-02-21,57617.0
2017-02-22,70915.0
2017-02-23,60530.0
2017-02-24,64136.0
2017-02-27,65234.0
2017-02-28,59398.0
2017-03-01,61933.0
2017-03-02,67275.0
2017-03-03,67300.0
2017-03-06,57406.0
2017-03-07,59648.0
2017-03-08,67680.0
2017-03-09,59387.0
2017-03-10,55191.0
2017-03-13,59110.0
2017-03-14,60344.0
2017-03-15,61414.0
2017-03-16,60818.0
2017-03-17,58957.0
2017-03-20,56982.0
2017-03-21,53227.0
2017-03-22,52947.0
2017-03-23,44079.0
2017-03-24,58308.0
2017-03-27,60169.0
2017-03-28,44829.0
2017-03-29,58428.0
2017-03-30,60496.0
2017-03-31,61330.0
2017-04-03,65681.0
2017-04-04,49725.0
2017-04-05,54912.0
2017-04-06,53678.0
2017-04-07,62681.0
2017-04-10,57822.0
2017-04-11,56629.0
2017-04-12,60061.0
2017-04-13,60671.0
2017-04-17,47917.0
2017-04-18,51956.0
2017-04-19,51257.0
2017-04-20,53575.0
2017-04-21,56757.0
2017-04-24,62906.0
2017-04-25,55486.0
2017-04-26,64126.0
2017-04-27,59099.0
2017-04-28,40217.0
2017-05-01,62730.0
2017-05-02,60222.0
2017-05-03,57556.0
2017-05-04,53071.0
2017-05-05,63550.0
2017-05-08,62405.0
2017-05-09,54395.0
2017-05-10,56344.0
2017-05-11,57842.0
2017-05-12,50959.0
2017-05-15,71215.0
2017-05-16,67371.0
2017-05-17,55838.0
2017-05-18,62550.0
2017-05-19,57819.0
2017-05-22,63865.0
2017-05-23,55621.0
2017-05-24,64338.0
2017-05-25,55796.0
2017-05-26,60236.0
2017-05-30,58282.0
2017-05-31,59090.0
2017-06-01,64265.0
2017-06-02,56233.0
2017-06-05,61842.0
2017-06-06,69695.0
2017-06-07,70749.0
2017-06-08,68224.0
2017-06-09,60002.0
2017-06-12,57815.0
2017-06-13,58752.0
2017-06-14,63707.0
2017-06-15,62918.0
2017-06-16,62593.0
2017-06-19,62234.0
2017-06-20,69368.0
2017-06-21,67482.0
2017-06-22,48111.0
2017-06-23,70519.0
2017-06-26,63117.0
2017-06-27,77782.0
2017-06-28,63221.0
2017-06-29,71114.0
2017-06-30,62284.0
2017-07-03,65392.0
2017-07-05,66504.0
2017-07-06,65337.0
2017-07-07,61319.0
2017-07-10,61017.0
2017-07-11,72577.0
2017-07-12,66149.0
2017-07-13,65345.0
2017-07-14,69353.0
2017-07-17,65332.0
2017-07-18,56224.0
2017-07-19,59738.0
2017-07-20,64369.0
2017-07-21,52014.0
2017-07-24,52146.0
2017-07-25,49407.0
2017-07-26,73612.0
2017-07-27,64385.0
2017-07-28,65089.0
2017-07-31,59479.0
2017-08-01,62492.0
2017-08-02,51809.0
2017-08-03,67060.0
2017-08-04,47803.0
2017-08-07,58730.0
2017-08-08,63314.0
2017-08-09,72020.0
2017-08-10,59938.0
2017-08-11,66545.0
